#swprepost v2.0.0,,
#1 potential descriptions:,,
#rayleigh 0,,
#Frequency (Hz),Velocity (m/s),Velocity Standard Deviation (m/s)
6.1543,307.7172,33.8489
6.5589,282.808,30.5135
7.0074,260.5625,27.5648
7.5143,240.9535,24.9831
7.9969,221.1377,22.4629
8.5567,204.0491,20.2975
9.1864,188.9168,18.3945
9.8809,175.2311,16.6931
10.6862,163.4289,15.2247
11.6269,153.3426,13.9622
12.7184,144.6514,12.8664
13.9841,137.1575,11.911
15.452,130.6952,11.0747
16.9224,123.4328,10.1994
18.6172,117.105,9.43
20.2489,109.8383,8.6136
22.141,103.5717,7.9042
24.3896,98.3878,7.3014
27.0239,94.0106,6.7787
30.3745,91.1235,6.3786
