#swprepost v2.0.0,,
#1 potential descriptions:,,
#rayleigh 0,,
#Frequency (Hz),Velocity (m/s),Velocity Standard Deviation (m/s)
99,233,12
90,229,11
81,226,11
73,224,11
66,222,11
60,220,11
54,218,11
49,216,11
45,215,11
40,214,11
36,214,11
33,211,11
30,208,10
27,206,10
24,205,10
22,204,10
20,207,11
18,206,10
16,205,11
15,208,11
13,213,12
12,214,11
11,215,13
9.9,216,15
9,216,15
8.1,219,16
7.3,223,17
6.6,226,20
5.4,239,8.5
4.9,245,8
4.5,246,7.1
4,247,7
