#swprepost v2.0.0,,
#1 potential descriptions:,,
#rayleigh 0,,
#Frequency (Hz),Velocity (m/s),Velocity Standard Deviation (m/s)
2.82125845,479.9678012,23.99839006
2.936795908,418.523569,20.92617845
3.193583848,381.2425801,19.06212901
3.505848156,350.5848156,17.52924078
3.756544766,314.6773554,15.73386777
4.06590094,285.3058256,14.26529128
4.46446076,262.421721,13.12108605
5.118966048,252.0518801,12.60259401
6.050995196,249.5809443,12.47904721
6.933495687,239.5597153,14.28791652
7.518634594,217.6092941,14.62437167
8.721578389,211.4513553,10.57256777
10.3208537,209.6080365,10.48040183
12.28161264,208.9414606,10.44707303
14.39528566,205.1476003,10.25738002
16.97774174,202.6763152,10.13381576
19.93567118,199.3567118,9.96783559
23.35225829,195.6166461,9.780832307
27.13502591,190.4075157,9.520375787
31.88867588,187.4421494,9.372107469
37.5339135,184.8125848,9.24062924
44.59241777,183.9270628,9.196353141
51.00233066,176.2185247,8.810926236
58.99406192,170.744515,8.537225748
66.35050634,160.8642824,8.043214122
