#swprepost v2.0.0,,
#1 potential descriptions:,,
#rayleigh 0,,
#Frequency (Hz),Velocity (m/s),Velocity Standard Deviation (m/s)
3.343395866533476,339.01112578870277,41.70610314887489
3.5236386821931474,311.9009876203475,33.17392179865446
3.7612528231156435,290.6411736143566,21.743413374779117
4.016877239654667,270.9645037025078,13.548225185125402
4.2984763722700805,253.1265019258357,14.163896811606113
4.631722970536955,238.10300705422537,12.026344450450303
5.09722966126136,228.7471737907202,11.43735868953602
5.586994751368275,218.87644667719346,10.943822333859682
6.093027664931224,208.37861498936152,10.418930749468085
6.669928192530727,199.13169313197054,9.956584656598535
7.273054188411713,189.55501643288346,9.477750821644182
8.251991908841998,187.74850315114247,9.387425157557132
9.0256860964155,179.26567708605592,8.963283854302803
10.358212340986361,179.5977788222633,8.979888941113174
11.6023251266879,175.61451706226694,8.780725853113355
13.108274101391487,173.20488137112505,8.66024406855626
14.815811275397046,170.89890554428027,8.544945277214058
16.915881296873582,170.33649398095835,8.516824699047925
19.167310836510506,168.4897522829404,8.424487614147065
22.14406793098559,169.92956350585814,8.496478175292914
25.13316732944839,168.3673941617946,8.418369708089738
28.819083253380565,168.53502126383628,8.426751063191821
