# 60050 2_reports/tar1_ln9_tr2.report
# Layered model 33287: value=0.169425
9
5.3253551267666825453 378.09237389591123701 179.87096025387054965 2000
4.6104108591954684471 401.35267367907738389 185.32123022052309125 2000
2.2791158025315425562 574.24287671104241326 217.30371700757382314 2000
4.234949331179288734 621.82274970571131689 228.38839049904632361 2000
4.1128005132943563638 660.07737891473470881 270.48138294215311817 2000
5.3714955433143067864 673.34493423092078501 289.99265273907644769 2000
14.043806091825832283 880.87582099605185704 310.91137485285565845 2000
3.0634904278399233135 963.40091248712724337 532.096981787312302 2000
0 1235.4961542022904268 593.64375993625583305 2000
# Layered model 60025: value=0.17339
9
5.7095014939308681434 385.69203061121908149 179.87096025387054965 2000
4.4259733883491234607 409.41986242002684548 183.48636655497335823 2000
2.0794069062137019444 609.57038496785742154 198.68944241538483197 2000
5.9559656255748496534 935.06743416450854056 254.80569802562376935 2000
10.384275262646752935 963.40091248712724337 273.1861967715746573 2000
2.1587790619443403273 973.03492161199847033 278.67723932668332054 2000
4.0654198048007970101 1298.518874926506669 289.99265273907644769 2000
2.2943861529096167828 1351.2439483092114187 379.37096290198320503 2000
0 1420.1709698097861292 486.51746080599923516 2000
# Layered model 46891: value=0.173686
9
5.6529717761691760103 397.37888483076966395 178.09005965729755872 2000
3.7069692295072833588 426.04395060792825234 187.17444252272832728 2000
2.8549407828172341794 585.78515853293447435 190.93664881743518436 2000
7.6583064204677757658 838.12311872016766756 252.28286933230072009 2000
8.1192857413525132415 889.68457920601224487 273.1861967715746573 2000
3.3387772132927118207 1002.5188527717638181 292.89257926646723718 2000
3.1037206616016561611 1140.9599698472347882 320.33230042227205558 2000
3.3839173958587380753 1420.1709698097861292 336.67246711546039251 2000
0 1434.3726795078839586 496.29646176819989023 2000
# Layered model 26295: value=0.174835
9
6.3068416752643639001 322.44521553649320822 181.66966985640925714 2000
3.2412341446261923039 359.7419205077410993 200.67633683953869195 2000
2.1901854890329914838 509.61139605124753871 202.68310020793407489 2000
3.4528817427618765379 514.70751001176006412 210.91284683560803614 2000
6.420389451067427089 585.78515853293447435 289.99265273907644769 2000
3.8115899129727104366 700.68543867388245872 295.82150505913193683 2000
8.6709090943817166419 751.22962950887767875 304.78519248392871077 2000
4.8708078732473651939 1311.5040636757717039 375.61481475443883937 2000
0 1420.1709698097861292 511.33474085623817018 2000
# Layered model 56315: value=0.174855
9
2.9902596119145448128 385.69203061121908149 178.09005965729755872 2000
2.8153411876526872604 405.36620041586814978 183.48636655497335823 2000
5.5874399806742189867 621.82274970571131689 185.32123022052309125 2000
8.6788793108096324858 789.54989054673001192 240.0384937406610959 2000
4.2804956725614395907 863.51908734050743988 284.27865183714970954 2000
7.9282036415026162501 1012.5440412994812505 298.77972010972325734 2000
2.8464953537799004835 1187.2875198725116661 304.78519248392871077 2000
7.06622285109163073 1337.86529535565478 360.95845407556987539 2000
0 1420.1709698097861292 506.27202064974062523 2000
# Layered model 41446: value=0.175227
9
2.0899670486297994287 319.25268864999327434 176.32679173989856736 2000
5.8923896540078510853 328.92636436877671713 187.17444252272832728 2000
2.3316144900001010143 374.34888504545665455 189.04618694795561851 2000
3.1673969394725975945 381.87329763487036871 217.30371700757382314 2000
5.3198648610870851172 551.83611747858083163 275.91805873929041582 2000
9.0036615785332685391 889.68457920601224487 292.89257926646723718 2000
4.958799573660183313 1032.8961765296010071 310.91137485285565845 2000
2.5106666400674555462 1152.3695695457072361 320.33230042227205558 2000
0 1285.6622524024817267 481.70045624356362168 2000
# Layered model 37627: value=0.175564
9
4.4080090001912415332 359.7419205077410993 179.87096025387054965 2000
4.4976537047333140507 366.97273310994671647 183.48636655497335823 2000
4.1903438823276353276 666.67815270388200588 202.68310020793407489 2000
6.1927140962776405786 872.15427821391256202 259.92729255593883408 2000
9.8403599589874453102 889.68457920601224487 267.80334944767633942 2000
2.5154830327254842359 1107.4045059135482916 278.67723932668332054 2000
3.4825510836522788338 1187.2875198725116661 353.8461465303106479 2000
2.3173300144387098953 1272.9329231707740746 394.77494527336500596 2000
0 1477.8356060696526129 501.25942638588190903 2000
# Layered model 59579: value=0.178165
9
3.0503638301140272304 303.75797892666912503 183.48636655497335823 2000
4.1044118041473218739 316.09177094058742341 185.32123022052309125 2000
2.8558631913223910814 319.25268864999327434 192.84601530560954075 2000
3.6055429878477127659 426.04395060792825234 221.671521719426039 2000
4.0954301447143741655 551.83611747858083163 273.1861967715746573 2000
9.2755447773428336689 693.74795908305191006 292.89257926646723718 2000
7.7921648079717726887 953.86228959121501703 340.03919178661499245 2000
3.7997273509501070521 1074.8359032103708159 346.87397954152595503 2000
0 1463.2035703659926185 537.41795160518540797 2000
# Layered model 52238: value=0.178893
9
5.9413301496854522554 312.96214944612614772 183.48636655497335823 2000
2.876157676972523447 363.33933971281851427 185.32123022052309125 2000
3.6429130857844427283 443.343043438852078 219.47675417764958183 2000
2.1379889704539802864 591.64301011826387366 226.12711930598649701 2000
4.7725392712279131047 666.67815270388200588 254.80569802562376935 2000
2.9674176692982747738 714.7692159912274974 275.91805873929041582 2000
12.788767935472453274 821.60878219798814825 314.0204886013842156 2000
11.019117190546531049 872.15427821391256202 431.75954367025371994 2000
0 1260.3296269017564555 542.79213112123727569 2000
# Layered model 55457: value=0.179404
9
8.4165046645360757083 363.33933971281851427 179.87096025387054965 2000
2.4500962671489396882 417.64920165466935487 210.91284683560803614 2000
3.8903070856039061454 434.60743401514764628 213.02197530396412617 2000
3.7791734298023982319 438.95350835529916367 267.80334944767633942 2000
6.554236866574431275 480.0769874813221918 281.46401171995017876 2000
4.7202921182950419166 640.66460084454411117 307.83304440876798935 2000
1.9895083152702497387 693.74795908305191006 317.16069348739807765 2000
5.6443260261027070612 829.82487001996798881 410.80439109899407413 2000
0 1463.2035703659926185 553.70225295677414579 2000
# Layered model 52175: value=0.179854
9
8.2506662724596377956 370.6424604410461825 179.87096025387054965 2000
3.6339751306624243909 378.09237389591123701 198.68944241538483197 2000
3.1688804653143662904 401.35267367907738389 242.43887867806770942 2000
9.6829506790729222843 499.57003828178363847 270.48138294215311817 2000
2.978848195375778829 551.83611747858083163 287.12143835552120663 2000
2.0952896890756633752 634.3213869747961553 317.16069348739807765 2000
2.9530837134300931268 680.0783835732299849 340.03919178661499245 2000
3.2196812918551671601 821.60878219798814825 496.29646176819989023 2000
0 1448.7164063029629233 542.79213112123727569 2000
# Layered model 56805: value=0.180254
9
3.9510030139033576191 370.6424604410461825 178.09005965729755872 2000
5.316265308548582702 405.36620041586814978 185.32123022052309125 2000
3.3177365991149017077 409.41986242002684548 189.04618694795561851 2000
2.6061381301185821968 504.56573866460144018 262.52656548149820992 2000
9.1612727119270989107 530.30366227262641132 273.1861967715746573 2000
5.458194668348269829 591.64301011826387366 289.99265273907644769 2000
3.6116339657524498818 628.0409772027684312 310.91137485285565845 2000
2.561131039532810405 846.50434990736948748 406.73702089009316296 2000
